timestamp,n_samples,n_features,numeric_features,categorical_features,high_corr_pairs,outlier_ratio,target_skew,feature_variance,target_kurtosis,task_type,top_model_1,r2_1,top_model_2,r2_2,top_model_3,r2_3
2025-05-06 20:50:53,506,12,13,0,1,0.138,1.108,2499.884,1.495,regression,Gradient Boosting,0.886,Random Forest,0.861,Decision Tree,0.857
2025-05-06 21:32:28,506,12,13,0,1,0.138,1.108,2499.884,1.495,regression,Gradient Boosting,0.886,Random Forest,0.861,Decision Tree,0.857
2025-05-06 21:45:07,506,12,13,0,1,0.138,1.108,2499.884,1.495,regression,Gradient Boosting,0.882,Random Forest,0.871,Decision Tree,0.806
2025-05-06 22:00:01,506,12,13,0,1,0.138,1.108,2499.884,1.495,regression,Gradient Boosting,0.887,Random Forest,0.868,Decision Tree,0.757
2025-05-06 22:03:59,506,12,13,0,1,0.138,1.108,2499.884,1.495,regression,Gradient Boosting,0.882,Random Forest,0.871,Decision Tree,0.781
2025-05-06 22:04:34,506,13,14,0,1,0.138,1.108,2307.605,1.495,regression,Gradient Boosting,0.888,Random Forest,0.871,Decision Tree,0.748
2025-05-06 22:04:42,506,13,14,0,1,0.138,1.108,2307.605,1.495,regression,Gradient Boosting,0.887,Random Forest,0.876,Decision Tree,0.848
2025-05-06 22:04:52,506,13,14,0,1,0.138,1.108,2307.605,1.495,regression,Gradient Boosting,0.888,Random Forest,0.869,Decision Tree,0.749
2025-05-06 22:17:07,506,13,13,1,1,0.138,1.108,2307.605,1.495,regression,Gradient Boosting,0.886,Random Forest,0.866,Decision Tree,0.851
2025-05-06 22:39:15,506,12,13,0,1,0.138,1.108,2499.884,1.495,regression,Gradient Boosting,Random Forest,Decision Tree,Ridge Regression,ElasticNet Regression,Random Forest
2025-05-06 22:39:56,506,12,13,0,1,0.138,1.108,2499.884,1.495,regression,Gradient Boosting,Random Forest,Decision Tree,Ridge Regression,ElasticNet Regression,Random Forest
2025-05-06 22:39:56,506,12,13,0,1,0.138,1.108,2499.884,1.495,regression,Gradient Boosting,Random Forest,Decision Tree,Ridge Regression,ElasticNet Regression,Random Forest
2025-05-06 22:40:08,506,12,13,0,1,0.138,1.108,2499.884,1.495,regression,Gradient Boosting,Random Forest,Decision Tree,Ridge Regression,ElasticNet Regression,Random Forest
2025-05-06 22:40:51,506,12,13,0,1,0.138,1.108,2499.884,1.495,regression,Gradient Boosting,0.889,Random Forest,0.867,Decision Tree,0.74
2025-05-06 22:40:51,506,12,13,0,1,0.138,1.108,2499.884,1.495,regression,Gradient Boosting,Random Forest,Decision Tree,Ridge Regression,ElasticNet Regression,Random Forest
2025-05-06 22:44:29,506,12,13,0,1,0.138,1.108,2499.884,1.495,regression,Gradient Boosting,Random Forest,Decision Tree,Ridge Regression,ElasticNet Regression,Random Forest
2025-05-06 22:44:47,506,12,13,0,1,0.138,1.108,2499.884,1.495,regression,Gradient Boosting,Random Forest,Decision Tree,Ridge Regression,ElasticNet Regression,Random Forest
2025-05-06 22:44:59,506,12,13,0,1,0.138,1.108,2499.884,1.495,regression,Gradient Boosting,Random Forest,Decision Tree,Ridge Regression,ElasticNet Regression,Random Forest
2025-05-06 22:45:54,506,13,13,1,1,0.138,1.108,2307.605,1.495,regression,Gradient Boosting,Random Forest,Decision Tree,Ridge Regression,ElasticNet Regression,Random Forest
2025-05-06 23:09:58,506,13,13,1,1,0.138,1.108,2307.605,1.495,regression,Gradient Boosting,Random Forest,Decision Tree,Ridge Regression,ElasticNet Regression,Random Forest
2025-05-06 23:10:37,506,13,13,1,1,0.138,,2314.092,,classification,Lasso Regression,ElasticNet Regression,Linear Regression,Ridge Regression,Lasso Regression,Linear Regression
2025-05-06 23:24:26,506,12,13,0,1,0.138,1.108,2499.884,1.495,regression,Gradient Boosting,Random Forest,Decision Tree,Ridge Regression,ElasticNet Regression,Random Forest
2025-05-06 23:26:53,506,12,13,0,1,0.138,1.108,2499.884,1.495,regression,Gradient Boosting,Random Forest,Decision Tree,Ridge Regression,ElasticNet Regression,Random Forest
2025-05-06 23:53:45,506,12,13,0,1,0.138,1.108,2499.884,1.495,regression,Gradient Boosting,Random Forest,Decision Tree,Ridge Regression,ElasticNet Regression,Random Forest
2025-05-06 23:56:57,506,12,13,0,1,0.138,1.108,2499.884,1.495,regression,Gradient Boosting,Random Forest,Decision Tree,Ridge Regression,ElasticNet Regression,Random Forest
2025-05-07 00:03:23,506,12,13,0,1,0.138,1.108,2499.884,1.495,regression,Gradient Boosting,Random Forest,Decision Tree,Ridge Regression,ElasticNet Regression,Random Forest
2025-05-07 00:15:31,506,12,13,0,1,0.138,1.108,2499.884,1.495,regression,Gradient Boosting,Random Forest,Decision Tree,Ridge Regression,ElasticNet Regression,Random Forest
2025-05-07 00:16:16,506,12,13,0,1,0.138,1.108,2499.884,1.495,regression,Gradient Boosting,Random Forest,Decision Tree,Ridge Regression,ElasticNet Regression,Random Forest
2025-05-07 00:18:40,466,11,12,0,5,0.013,0.203,2607.591,-0.118,regression,Gradient Boosting,Random Forest,Linear Regression,Ridge Regression,Lasso Regression,ElasticNet Regression
2025-05-07 00:23:12,506,12,13,0,1,0.138,1.108,2499.884,1.495,regression,Gradient Boosting,Random Forest,Decision Tree,Ridge Regression,ElasticNet Regression,Random Forest
2025-05-07 00:23:14,466,11,12,0,5,0.013,0.203,2607.591,-0.118,regression,Gradient Boosting,Random Forest,Linear Regression,Ridge Regression,Lasso Regression,ElasticNet Regression
2025-05-07 00:25:41,506,12,13,0,1,0.138,1.108,2499.884,1.495,regression,Gradient Boosting,Random Forest,Decision Tree,Ridge Regression,ElasticNet Regression,Random Forest
2025-05-07 00:25:42,466,11,12,0,5,0.013,0.203,2607.591,-0.118,regression,Gradient Boosting,Random Forest,Linear Regression,Ridge Regression,Lasso Regression,ElasticNet Regression
2025-05-07 00:26:56,506,12,13,0,1,0.138,1.108,2499.884,1.495,regression,Gradient Boosting,Random Forest,Decision Tree,Ridge Regression,ElasticNet Regression,Random Forest
2025-05-07 00:26:58,466,11,12,0,5,0.013,0.203,2607.591,-0.118,regression,Gradient Boosting,Random Forest,Linear Regression,Ridge Regression,Lasso Regression,ElasticNet Regression
2025-08-15 23:58:25,506,12,13,0,1,0.138,0.906,2502.683,0.493,regression,Random Forest,Gradient Boosting,Ridge Regression,Ridge Regression,Linear Regression,ElasticNet Regression
2025-08-15 23:58:26,494,10,11,0,5,0.02,0.605,2837.141,-0.541,regression,Gradient Boosting,Random Forest,Linear Regression,Ridge Regression,Lasso Regression,ElasticNet Regression
